transect,obs,Size class,n,weight_g,colour,notes
50-51,50-51,6,6,5720,gold,
,,6,2,1930,orange,
,,7,4,5740,orange,
,,7,5,6570,gold,
,,7,5,6450,gold,
,60-62,7,2,2210,gold,
,,7,2,2440,orange,
,,7,1,1360,,
,43-44,6,6,5770,gold,
,,6,1,1120,orange,
,,7,3,3970,gold,
,,7,3,3670,gold,
,52-56,6,3,2610,2 gold ; 1 orange,
,,7,4,4770,gold,
,,7,4,4930,gold,
,46,7,5,6370,gold,
,,6,2,1970,orange,
,,6,8,7000,gold,
,45,6,4,3460,gold,
,,7,4,5060,orange,
,,7,5,6600,gold,
,,7,5,5630,gold,
,,7,4,4250,gold,
,18-19,6,5,4780,gold,
,,6,3,2940,gold,
,,7,5,6390,gold,
,,7,5,6360,orange,
,20-35,6,2,2010,orange,
,,6,4,3920,gold,
,,7,2,2470,orange,
,,7,5,6470,gold,
,14-16,7,5,6030,2 orange ; 3 gold,
,17,6,3,2950,gold,
,,7,5,6040,orange,
,,7,9,12410,NA,
,13,7,7,8580,gold,
,,7,4,4700,orange,
WS3-WS1,"64, 65",6,3,3250,,
,,7,3,3570,,
,,8,1,1390,,
,"66, 67",6,2,2110,,
,,7,4,6430,,
,,8,1,1630,,
,"68, 69",6,2,2570,,
,,7,3,4060,,
,70,6,3,3620,,
,,7,1,1200,,
,,8,1,1670,,
,71-73,6,2,2520,,
,,7,4,6180,,
,74-75,7,2,1950,,
,76,7,3,3650,,
,78,7,2,2200,,
,unclear,6,6,5990,,
,,7,5,6210,,
,,7,5,6150,,
,,7,6,6070,,
,,7,3,3340,,
,,8,3,4420,,
,,5,7,4310,,
,,6,7,5890,,
,,7,5,6350,,
,,7,2,2550,,
,,5,2,1170,,
,,6,2,1850,,
,,8,2,3020,,
,79-88,7,5,5670,,
,,7,5,6500,,
,,7,5,5720,,
,,5,4,3100,,
,,8,3,4290,,
,,5,2,1320,,
,,6,1,870,,
,,7,6,6330,,
,84-87,5,1,1220,,huge
,,6,2,1440,,
,,7,3,3780,,
,31-34,7,1,1290,,
,,8,2,3580,,
,89-97,5,8,5250,,
,,6,5,5230,,
,,6,5,4300,,
,,6,4,4340,,
,,7,5,6040,,
,,7,5,6080,,
,,7,5,6065,,
,,7,5,6400,,
,,8,6,9650,,
,98-103,5,2,1520,,
,,6,8,8200,,
,,7,14,18050,,
,,8,2,2700,,
,104-115,5,5,3260,,
,,6,9,8820,,
,,6,6,6070,,
,,7,7,10170,,
,,8,4,5980,,
,116-127,8,5,6610,,
,,7,5,5750,,
,,7,5,5960,,
,,7,5,6550,,
,,7,5,5570,,
,,7,2,2490,,
,,6,7,7690,,
,,6,9,8780,,
,,5,8,5570,,
,,6,1,1130,,
,,7,3,3550,,
