otolith.vial,transect,obs,FL_mm,TL_mm,width_mm,height_mm,weight_g,health,colour,notes,ID,PIT.HEX,PIT.DEC,Sex,Eggs,Gonad.Mass.g,Bodywally.Thickness..mm.,Searcher,MergeNotes,Otoliths,Picture_O1,Otolith.Analysis_O1,Age.First.Read_O1,Certainty_O1,Notes.Read_O1,First.Read.Date,Picture_O2,Otolith.Analysis_O2,Age.First.Read_O2,Certainty_O2,NotesO2,AgeDiff,ReadToUse,use.age,oto
2,CS1,79-88,209,229,50,76,240,,,,NA,58664,9058664,M,N,NA,5.2,KS,,2,Y,asteriscii - R,8,3,"many dark spots, especially near the core",26/8/2025,Y,asteriscii - L,7,2,"could be one less or more, core is unclear",1,O2,7,a
3,CS1,14,231,251,47,92,320,,brown,,166,58649,9058649,M,N,NA,7,KS,,1,Y,asteriscii - L,12,2,tip is slightly broken and edge is is blurry,26/8/2025,,,NA,NA,,,,12,a
4,CS1,79-88,238,259,55,92,360,,,,NA,58687,9058687,F,Y,22,7,KS,,1,,,NA,NA,poor condition: broken and stained,,,,NA,NA,,,,,
6,CS1,79-88,139,151,24,49,NA,,gold,,172,58667,9058667,unk,N,NA,3,KS,,1,,,NA,NA,poor condition: dried and stained,,,,NA,NA,,,,,
7,CS1,5,330,360,71,136,1210,5,gold,,146,9984606D,98925,F,Y,80,7,JM,,1,Y,lapilli - L,15,3,"core is messy and dark, tip is broken",26/8/2025,,,NA,NA,,,,15,l
8,CS1,5,340,390,75,135,1240,5,gold,,135,99846178,99192,M,N,NA,9.3,KS,,1,Y,asteriscii - R,23,1,"very clear rings, may be more",26/8/2025,,,NA,NA,,,,23,a
10,CS1,5,335,365,74,136,1220,5,gold,,145,99846131,99121,F,Y,115,9,JM,,1,,,NA,NA,"poor condition: dried, stained, and deformed",,,,NA,NA,,,,,
12,WA,19,323,354,65,122,1010,,orange,,122,9984613E,99134,M,N,NA,8.8,KS,,2,Y,lapilli - L,23,3,"dark core, faded edge problem",,N,,NA,NA,broke during sanding process,,,23,l
13,CS1,5,335,370,70,140,1230,5,gold,,140,99846126,99110,F,Y,109.6,6,JM,,1,Y,lapilli - L,19,3,difficult to locate core,,,,NA,NA,,,,19,l
15,CS1,5,310,338,57,125,980,5,gold,,155,9984615A,99162,F,Y,36.1,11,JG,,2,Y,lapilli - R,12,4,"core is too dark, needs more sanding",26/8/2025,N,,NA,NA,"poor condition: stained, dried, and deformed",,DROP,,
16,CS1,5,372,405,82,165,1740,5,orange,,143,99846077,98935,F,Y,97.6,8,JM,,1,Y,lapilli - L,16,2,"core is a little dark and unclear, and there many rings compacted in the outer edge, so it could be more",26/8/2025,,,NA,NA,,,,16,l
17,CS1,5,335,365,81,120,1060,5,orange,,132,998551F4,160756,F,Y,NA,8,JM,,2,Y,lapilli - R,20,2,core is dark and outer edge is a little faded but rings are clear,26/8/2025,Y,lapilli - L,16,3,,4,O1,20,l
18,CS1,5,300,325,68,124,870,5,gold,,157,99846095,98965,F,Y,57.9,7.8,KS,,2,Y,lapilli - L,18,2,"read 16 at first but camera and microscope later matched at 18, many rings are clear but the outer edge becomes more compact",26/8/2025,Y,lapilli - R,19,2,,-1,,18,l
19,CS1,5,338,365,77,155,1400,5,gold,,149,99846218,99352,F,Y,208,9,JM,,2,Y,lapilli - L,14,2,"dark core, faded outer edge",26/8/2025,N,,NA,NA,poor condition: stained and shriveled,,,14,l
