ID,Pond,Site ,Date,SL_cm,TL_cm,weight_g,Sex,Stage of Maturity,Otoliths?,Otolith Analysis,use.age,Certainty,Notes,First Read Date
RBGBBM01,RBG,Blackbird Marsh,9/13/2022,12,15,10.1595,F,"VERY immature, eggs are hardly visible but there is a whitish, crumbly look to the gonads that suggest female",2,lapillus - R,4,1,"checked the next day after the oil had settled and see two full rings, there is a smaller ring at the heart",03-Jul-24
RBGBBM02,RBG,Blackbird Marsh,9/13/2022,12.5,16,13.0185,F,"Also very immature, and similar to 01, but small circles of eggs are almost visible; also since this is a large gonad, it wouldn't be immature as much as respawning, but very early on",2,lapillus - R,4,2,"checked the next day after the oil had settled overnight, and there is the heart ring, the ring after, and what looks like a third -- too big to not to be ",03-Jul-24
RBGBBM03,RBG,Blackbird Marsh,9/13/2022,11.5,14.5,9.3813,M,"There are whitish sections but not the way of the other two, no sign of eggs",2,lapillus - R,4,2,"possibly needs to be sanded, ring at the heart is difficult to distinguih -- okay,for a second look, I now see 3?? Way too big ",03-Jul-24
RBGBBM05,RBG,Blackbird Marsh,9/13/2022,13.8,17.5,22.2961,F,"In between 04 and 03, few whitish sections but eggs are becoming visible",2,lapillus - R,3,3,the distance between the second ring and the edge is wide,04-Jul-24
RBGBBM08,RBG,Blackbird Marsh,9/13/2022,14.2,19,27.528,F,"Very large gonad, eggs not so perceptible with whitish sections almost blended in, much like 01 and 02",2,lapillus - R,4,2,"hard to see clearly, the colors meld together but there is the core ring, then a clear second and a clear third, but could be fourth?",04-Jul-24
RBGBBM09,RBG,Blackbird Marsh,9/13/2022,14.6,19.5,32.9206,F,Very perceptible eggs,2,lapillus - R,4,3,too big to be 1 or 2 but I can't see the core ring,04-Jul-24
RBGBBM13,RBG,Blackbird Marsh,9/13/2022,15,20,26.8487,F,"Big gonad and most of it smooth, almost mistaken for a male but there are very small whitish sections of perceptible eggs, a lot like 01 and 02",1,lapillus - L,6,4,I must be going crazy but this one's tip continues quite long ,04-Jul-24
RBGBBM14,RBG,Blackbird Marsh,9/13/2022,13,18,22.0888,F,"Very chunky with chunky sections of perceptible eggs, somewhat like 11",2,lapillus - R,5,3,"hard to distinguish core ring and second ring, hard to determine core ring",04-Jul-24
RBGBBM15,RBG,Blackbird Marsh,9/13/2022,14.5,19.5,32.8787,F,"FILLED with small whitish eggs that are VERY perceptible, a little more than 11",1,lapillus - R,6,4,"so many rings, especially at the heart, hard to distinguish first and second year -- could possibly be older",04-Jul-24
RBGBBM16,RBG,Blackbird Marsh,9/13/2022,13.4,17.8,15.9843,F,"It's big and whitish but no perceptible eggs of any kind -- this is a female, Sully…",2,lapillus - R,3,3,need to compare with other 2.5 years,08-Jul-24
RBGBBM19,RBG,Blackbird Marsh,9/13/2022,12.7,16.3,14.8485,F,"MOST adavanced eggs so far, very visible to the naked, opaque and orange, fills the whole gonad",2,lapillus - R,5,2,very characteristic of 17 and 18 but core ring and second year seem very different ,08-Jul-24
RBGBBM22,RBG,Blackbird Marsh,9/13/2022,14,17.6,22.9897,F,"Very small gonad, broken apart (maybe a messy dissection or perservation), but with small sections of very small white eggs, somewhat like 05",2,lapillus - R,4,3,seems characteristicof 3 years,08-Jul-24
RBGBBM24,RBG,Blackbird Marsh,9/13/2022,12.3,16.2,16.0254,F,"Can't see anything that would be an egg -- there are eggs, Sully…",2,lapillus - R,3,2,real clear between core and second year,08-Jul-24
RBGBBM25,RBG,Blackbird Marsh,9/13/2022,12.8,16,17.3136,F,"Chunky with lots of pockets of eggs in different stages, a lot like 11",2,lapillus - R,4,2,beautiful ,08-Jul-24
RBGBBM26,RBG,Blackbird Marsh,9/13/2022,13.5,17.4,21.9836,F,"Same as 25, chunky with lots of pockets of eggs, both white and orange, in slightly different stages",1,lapillus - R,4,3,"too many rings after the core ring but there is clearly one more and that seems too far away from the core ring to be a second ring, I see a ring in between ",08-Jul-24
RBGBBM27,RBG,Blackbird Marsh,9/13/2022,13,16.8,15.9292,F,"Same as 26, but eggs are smaller and there are fewer sections of them",2,lapillus - R,4,3,could be 4.5,08-Jul-24
RBGBBM28,RBG,Blackbird Marsh,9/13/2022,15,19.5,27.4039,F,"Chunky, folded, with lots of small eggs in every corner, similar to 25-27",1,lapillus - R,4,2,a little hard to tell between 2.5 and 3.5 ,08-Jul-24
RBGBBM29,RBG,Blackbird Marsh,9/13/2022,13.3,17.4,21.2541,F,"Mostly smooth looking but there are big chunks of perceptible and small eggs, a little bit more than 13",2,lapillus - R,5,1,damn,08-Jul-24
RBGBBM31,RBG,Blackbird Marsh,9/13/2022,14.6,19.2,27.4245,M,"Giant, smooth gonad like 30, there is however a layer of something over it with what look like eggs but i'm not convinced it's part of the gonad, might be fat of somesort",1,lapillus - R,4,4,definitely 3 but too big to be three and the right hand lower bulge shows four changes in color ,08-Jul-24
RBGBBM32,RBG,Blackbird Marsh,9/13/2022,13.4,17.1,19.5919,M,Small gonad but same thing as 31,2,lapillus - R,4,1,beautiful ,08-Jul-24
RBGBBM33,RBG,Blackbird Marsh,9/13/2022,12.5,17,17.1998,M,"So smooth, small and thin",1,lapillus - R,3,1,"not big, core ring plus one more",08-Jul-24
RBGBBM34,RBG,Blackbird Marsh,9/13/2022,15,20,31.9214,M,Just like 33,2,lapillus - R,4,4,needs to be sanded,08-Jul-24
RBGBBM35,RBG,Blackbird Marsh,9/13/2022,13.6,17.7,23.4701,F,"Chunky with eggs everywhere, like 11",1,lapillus - R,3,1,"big, clear core with one other ring, around the same size as the other 2.5 ",08-Jul-24
RBGBBM36,RBG,Blackbird Marsh,9/13/2022,14.6,19.5,29.2591,F,"Like very, very little developed, looks so smooth, I almost thought it was a male but there are small sections of barely developed eggs, a lot lke 23 -- it's big too",2,lapillus - R,4,2,characteristic of 3.5 ,08-Jul-24
RBGBBM40,RBG,Blackbird Marsh,9/13/2022,13.6,18.2,25.0582,F,"Same as 39…mm, look again, it is female",2,lapillus - R,5,4,I see 4.5 through the microscope but 3.5 on my camera,08-Jul-24
RBGBBM42,RBG,Blackbird Marsh,9/13/2022,13.3,18,16.5958,F,"Almost looks like a male, but the inside and small spots that are becoming visible hold very small, white eggs, kind of like 13 and 36 except the gonad is smaller and the sections aren't white, they are barely showing -- probably the least developed",2,lapillus - R,5,2,"so, I see four rings but in the color differences, do I stop at each difference or do I count the dark and light rings together -- so, it's one year and not two separate ones? ",15-Jul-24
RBGBBM46,RBG,Blackbird Marsh,9/13/2022,11.5,14.4,12,F,"In the same range as 20, small gonad with a large white section of visible but very small eggs",2,lapillus - R,4,4,having a lot of trouble differentiating between 3 and 4 ,15-Jul-24
RBGBBM48,RBG,Blackbird Marsh,9/13/2022,11.3,15.5,14,F,"Looks very, very smooth but actually has eggs, kind of like 29",2,lapillus - R,4,3,outer rings are dark ,15-Jul-24
RBGBBM50,RBG,Blackbird Marsh,9/13/2022,10.7,14.5,10,F,Have Piata look at this one because I think it's the same as 49,2,lapillus - L,3,1,microscope and picture are consistent,15-Jul-24
RBGBBM51,RBG,Blackbird Marsh,9/13/2022,12.2,15.5,13,F,Same as 49 and 50,2,lapillus - R,4,1,microscope and picture are consistent,15-Jul-24
RBGBBM52,RBG,Blackbird Marsh,9/13/2022,10.6,13.8,7,F,"Like a tiny, shriveled mess of a gonad but there are perceptible eggs, a little more advanced than the last three but around the same stage ",1,lapillus - R,3,1,consistent with 2 years but need to see more young of years,15-Jul-24
RBG70,RBG,Cootes,,5,6.5,,,,2,lapilli - R,1,1,,7/24/2025
RBG71,RBG,Cootes,,4,5.2,,,,2,lapilli - R,1,1,,7/24/2025
RBG72,RBG,Cootes,,3.8,5.1,,,,2,lapilli - R,1,1,,7/24/2025
RBG73,RBG,Cootes,,4.5,6,,,,2,lapilli - R,1,1,,7/24/2025
RBG74,RBG,Cootes,,4.5,6,,,,1,lapilli - R,1,1,,7/24/2025
RBG75,RBG,Cootes,,3.5,4.5,,,,2,lapilli - R,1,1,,7/24/2025
RBG76,RBG,Cootes,,4.5,6.5,,,,2,lapilli - R,1,1,,7/24/2025
RBG77,RBG,Cootes,,4.7,6.2,,,,2,lapilli - R,1,1,,7/24/2025
RBG78,RBG,Cootes,,4.5,6,,,,2,lapilli - R,1,1,,7/24/2025
RBG79,RBG,Cootes,,4.7,6.7,,,,2,lapilli - R,1,1,,7/24/2025
RBG84,RBG,Cootes,,13.2,17.5,,,,2,lapilli - R,9,3,"faded outer layer and dark fissures through middle, more or less 9",8/8/2025
RBG90,RBG,Cootes,,15,20,,,,2,lapilli - R,10,1,scope and phone are in agreement,8/8/2025
RBG91,RBG,Cootes,,13.2,16.5,,,,2,lapilli - R,11,1,scope and phone are in agreement,8/8/2025
RBG92,RBG,Cootes,,12.5,16,,,,1,lapilli - R,10,3,lots of false annuli,8/8/2025
RBG93,RBG,Cootes,,13,16.5,,,,2,lapilli - R,9,2,scope and phone are in agreement,8/8/2025
RBG94,RBG,Cootes,,14,19,,,,2,lapilli - R,10,1,scope and phone are in agreement,8/10/2025
RBG95,RBG,Cootes,,15,19.5,,,,2,lapilli - R,8,2,"colours of the ring are a little muddled, give or take a year",8/10/2025
RBG96,RBG,Cootes,,15,18.5,,,,2,lapilli - R,8,3,"colours of the ring are a little muddled, give or take a year",8/10/2025
RBG97,RBG,Cootes,,15,19,,,,2,lapilli - R,11,3,"definitely at least 10, problem is that the outer edge is a little faded",8/10/2025
