transect,obs,FL_mm,TL_mm,width_mm,height_mm,weight_g,PIT_ID,health,colour,notes,ID
50-51,50-51,75,82,9,23,7,99855773,,gold,,1
,007 - 011,80,88,11,23,7,9985508B,,gold,,96
,46,81,90,12,25,9,998461BA,,gold,,30
,,110,123,22,138,NA? check,998460FD,,gold,,52
,104-115,112,124,14,36,25,362922,,brown,,183
,,130,143,21,42,48,998460 E3,,gold,,23
,,130,143,22,47,50,998460FF,,gold,,34
,98-103,133,149,33,48,47,362955,,,,181
,,139,151,24,49,,58667,,gold,,172
,,147,163,35,50,69,998460AB,,gold,,24
,WS,163,183,38,58,100,003DEEC728,,gold,,124
,,180,196,41,64,131,998461D5,,gold,,25
,,189,211,34,68,149,362927,scale loss,brown,,180
,,204,225,35,77,200,362929,,brown,,182
,31-34,210,226,54,81,250,58724,,brown,,174
,,209,227,37,76,211,9989615F,,gold,,7
,,209,229,50,76,,,,,,173
,,214,233,39,82,260,363008,,brown,,179
,,216,234,38,234,247,99846234,,gold,,75
,,235,245,54,93,360,58708,,brown,,167
,,231,251,47,92,320,58649,,brown,,166
,,232,254,44,84,327,9984618D,,gold,,89
,79-88,238,259,55,92,360,,,,,171
,,235,262,41,95,340,,,NA,,37
,,255,272,46,94,410,,,gold,,2
,55,252,277,49,91,380,,,,,168
,,260,280,45,97,420,,,gold,,10
,,259,287,49,98,430,,,NA,,40
,,263,287,51,104,510,,,NA,,42
,,265,288,55,107,550,,,gold,,21
,,262,289,50,99,520,,,gold,,178
,"66, 67",264,290,62,103,720,,,dark brown,,161
,,266,292,58,104,NA,,,gold,,29
,,261,292,52,101,460,,,,,170
,,268,293,47,97,650,,,gold,,15
,,266,297,53,113,NA,,,gold,,17
,,273,298,50,94,410,99846050,,gold,,83
,,275,301,55,104,550,99846159,,orange-black,,141
,,268,302,54,106,550,,missing tail,gold,,48
,,278,303,46,98,530,,,gold,,33
,,274,303,59,105,500,99846173,,gold,,85
,,282,309,61,121,790,,,NA,,39
,45,291,310,54,118,NA? check,,,NA,,35
,,286,313,54,112,610,,,brown,,177
,,287,314,50,101,530,,scales,gold,,9
,,286,314,63,115,650,998550D9,,gold,,142
,,290,316,62,117,1150,,,orange,,4
,,287,316,56,114,570,99846065,,gold,,44
,,290,316,59,123,840,9984611A,,gold,,152
,,284,317,50,112,570,,,gold,,49
,,297,318,60,115,510,,,gold,,16
,89-97,283,318,47,104,490,,,brown,,176
,,296,320,53,110,680,,,gold,,6
,76,295,320,63,101,790,,,brown,,164
,,296,321,54,109,NA? check,,,NA,scales,41
,78,297,321,68,125,770,,,brown,,165
,,292,322,55,123,720,,,orange,,3
,,288,322,58,127,770,,,gold,,32
,,289,323,61,116,780,,,,,13
,,294,323,54,107,680,998461D6,,gold,,80
,,291,323,59,105,380,,,,,169
,20-35,288,324,59,118,850,,,gold,,50
,,300,324,57,103,600,9988551C0,,gold,,130
,,300,325,68,124,870,99846095,,gold,,157
,,291,326,54,111,590,99846046,,gold,,84
,,298,327,48,110,470,9984617B,,NA,,36
,,295,328,47,100,530,,,NA,scales,38
,,296,328,56,109,660,9984610F,,gold,,101
,,299,328,54,109,630,99846???,,gold,A sore thing?,112
,,292,329,71,117,730,,,gold,,8
,,297,333,58,113,690,998460B2,,gold,,68
,,301,333,64,128,1100,,,gold,,73
,60-62,295,335,56,113,610,,,,,12
,,299,335,52,101,630,,,orange-white,,47
,,297,336,54,117,704,998461DF,,gold,,76
,,308,337,60,127,920,,,gold,,71
,,310,338,69,125,980,9984615A,,gold,,155
,71-73,307,339,61,115,990,,,,,162
,,302,341,57,122,860,,deformed tail,gold,,61
,,317,342,50,116,740,,missing eye,gold,,92
,,301,343,58,119,1030,,,gold,,58
,88,310,343,63,115,890,,,,,175
,,314,344,65,124,1040,99846161,,,,107
,,312,345,61,121,1160,,,gold,,57
,,311,345,64,127,920,,,gold,,70
,,314,345,69,128,930,,,gold,,90
,,325,345,66,124,920,998550F8,scales missing,orange,,133
,,311,346,67,120,1030,9984605B,,gold,,100
,,321,346,74,139,1180,9984604C,,yellow-black,,103
,CA 14 - kurt phone,315,346,71,138,1090,998461A4,,gold-white,,160
,,300,346,66,120,1120,,,,,163
,,317,347,66,130,1040,,,gold,,60
,,322,347,63,131,1070,,,gold,,74
,,304,348,63,127,940,,gill dmg,gold,,56
,,307,348,63,119,990,,,gold,,67
,12,317,349,67,117,950,998460C5,,,,105
,,282,350,49,112,600,,,gold,,11
,,317,350,69,134,1250,,,gold,,72
,,320,350,67,122,1050,99846232,,gold,,98
,,324,350,63,124,980,99846220,,gold,,109
,13,319,351,57,115,700,99846045,,gold,,77
,,322,351,69,126,1080,998460C4,,gold,,114
,,318,351,63,125,900,99846211,,gold,,148
,,315,352,61,116,830,,,orange,,64
,,317,353,73,135,1150,,,gold,,94
,,314,353,56,115,775,,,gold,,95
,,321,354,64,125,880,,deformed mouth,orange-white,,86
,WA,323,354,65,122,1010,9984613E,,orange,,122
,WS,331,354,78,145,1360,,,orange,,128
,,310,355,50,114,760,,,gold,,91
,,314,355,67,124,1060,,,gold,,93
,,328,355,68,129,1080,,,orange,,108
,,320,355,68,115,910,99855194,,gold,,137
,17,324,357,69,128,1250,,,gold,,65
,,320,357,66,118,960,,,gold,,78
,,332,357,68,124,1150,,tail,gold,,117
,,324,358,66,132,1240,,,gold,,59
,,318,358,65,122,880,,,orange-black,,87
,,326,358,68,124,980,,,,,104
,,232,359,54,119,630,9984617Z,,gold,,102
,CB,330,360,75,143,1340,,,orange-white,photo,121
,WS,334,360,72,128,970,,,orange,,126
,,330,360,71,136,1210,9984606D,,gold,,146
,,329,361,64,116,920,,,gold,,116
,14-16,323,362,69,115,920,,,gold,,55
,,324,363,75,141,1560,,,gold,,88
,,334,364,79,134,1320,,,orange-black,,154
,,320,365,64,140,1080,,deformed eye,orange,,63
,,335,365,81,120,1060,998551F4,,orange,,132
,,335,365,73,125,1340,998550 E6,,gold,,138
,,335,365,74,136,1220,99846131,,gold,,145
,,336,365,71,126,980,99846109,,gold,,147
