"key","ID","dataset","TL_mm","width_mm","est_width_mm","weight_g","gonads_g","pred.eggs","age","class"
1,"1661","batch",283.7655730166007,NA,51.49286368620388,953.3333333333334,NA,3840,NA,6
2,"1662","batch",258.38743090699427,NA,46.06593164371592,953.3333333333334,NA,2547,NA,6
3,"1663","batch",279.47763266810216,NA,50.57591867214255,953.3333333333334,NA,3593,NA,6
4,"1664","batch",262.7333051210735,NA,46.99526539569618,953.3333333333334,NA,2741,NA,6
5,"1665","batch",265.18492869567126,NA,47.519527356072985,953.3333333333334,NA,2854,NA,6
6,"1666","batch",273.37711866223253,NA,49.27136789805068,953.3333333333334,NA,3261,NA,6
7,"2621","batch",298.1496839278843,NA,54.56880171468538,965,NA,4769,NA,6
8,"2622","batch",287.26569909090176,NA,52.24134031870654,965,NA,4052,NA,6
9,"3741","batch",313.24554888159037,NA,57.79694319456651,1435,NA,5921,NA,7
10,"3742","batch",301.8447770345956,NA,55.358970636199814,1435,NA,5034,NA,7
11,"3743","batch",321.5140161924064,NA,59.56509509463591,1435,NA,6637,NA,7
12,"3744","batch",301.7864530812949,NA,55.346498480844815,1435,NA,5029,NA,7
13,"4751","batch",309.3642650768161,NA,56.96695873963094,1314,NA,5606,NA,7
14,"4752","batch",318.5964823625982,NA,58.94120159771852,1314,NA,6377,NA,7
15,"4753","batch",322.0594822485,NA,59.68173906349378,1314,NA,6686,NA,7
16,"4754","batch",312.9991910904646,NA,57.74426136369004,1314,NA,5901,NA,7
17,"4755","batch",308.28659858368337,NA,56.73650755855398,1314,NA,5521,NA,7
18,"5751","batch",311.1160329170525,NA,57.34156161568545,1290,NA,5747,NA,7
19,"5752","batch",317.9681587908417,NA,58.806839148730376,1290,NA,6322,NA,7
20,"5753","batch",309.0172331575304,NA,56.89274847497076,1290,NA,5579,NA,7
21,"5754","batch",303.6421723011881,NA,55.74333060720001,1290,NA,5166,NA,7
22,"5755","batch",322.41795845516026,NA,59.75839660619302,1290,NA,6719,NA,7
23,"6721","batch",319.05510289408267,NA,59.03927427959202,1105,NA,6417,NA,7
24,"6722","batch",324.2748859990388,NA,60.15548712388849,1105,NA,6890,NA,7
25,"7721","batch",318.7553022839129,NA,58.97516408859927,1220,NA,6391,NA,7
26,"7722","batch",311.80810365080833,NA,57.48955593396401,1220,NA,5803,NA,7
27,"8711","batch",301.8498986624181,NA,55.36006585924726,1360,NA,5034,NA,7
28,"9661","batch",266.8028648963664,NA,47.86551130447754,961.6666666666666,NA,2931,NA,6
29,"9662","batch",297.2347619556822,NA,54.37315227171687,961.6666666666666,NA,4705,NA,6
30,"9663","batch",271.7345745426137,NA,48.92012172425826,961.6666666666666,NA,3176,NA,6
31,"9664","batch",296.6293203162495,NA,54.243682958372226,961.6666666666666,NA,4664,NA,6
32,"9665","batch",263.36834451463073,NA,47.1310639745777,961.6666666666666,NA,2770,NA,6
33,"9666","batch",289.49735267763026,NA,52.71856328897928,961.6666666666666,NA,4192,NA,6
34,"10611","batch",280.9862936672289,NA,50.89853490945622,1120,NA,3678,NA,6
35,"11731","batch",305.790670119226,NA,56.2027713180908,1323.3333333333333,NA,5328,NA,7
36,"11732","batch",319.76793003082275,NA,59.19170720444609,1323.3333333333333,NA,6480,NA,7
37,"11733","batch",317.66298422403634,NA,58.74157977599948,1323.3333333333333,NA,6296,NA,7
38,"12731","batch",315.61506590247154,NA,58.30364726259097,1223.3333333333333,NA,6120,NA,7
39,"12732","batch",316.6301045976579,NA,58.52070594228002,1223.3333333333333,NA,6207,NA,7
40,"12733","batch",323.86225015856326,NA,60.067247935421335,1223.3333333333333,NA,6852,NA,7
41,"13631","batch",281.29087919928133,NA,50.96366832136772,870,NA,3696,NA,6
42,"13632","batch",254.81446272623725,NA,45.3018782538659,870,NA,2397,NA,6
43,"13633","batch",290.9841642791871,NA,53.036507190734696,870,NA,4287,NA,6
44,"14741","batch",314.36269351281226,NA,58.03583648979226,1192.5,NA,6014,NA,7
45,"14742","batch",305.6986161638051,NA,56.183086245867884,1192.5,NA,5321,NA,7
46,"14743","batch",314.7870804797858,NA,58.12658857162458,1192.5,NA,6050,NA,7
47,"14744","batch",322.10926440544426,NA,59.69238461751024,1192.5,NA,6691,NA,7
48,"15741","batch",323.80084616318345,NA,60.05411713535629,1232.5,NA,6846,NA,7
49,"15742","batch",310.9974101278931,NA,57.31619499063157,1232.5,NA,5737,NA,7
50,"15743","batch",317.20437685213983,NA,58.64350990820864,1232.5,NA,6256,NA,7
51,"15744","batch",305.85554022714496,NA,56.21664332124,1232.5,NA,5333,NA,7
52,"16751","batch",320.315620040521,NA,59.308826749688805,1274,NA,6529,NA,7
53,"16752","batch",315.2586717940867,NA,58.22743496154095,1274,NA,6090,NA,7
54,"16753","batch",320.36702367663383,NA,59.319819045291695,1274,NA,6534,NA,7
55,"16754","batch",308.8445590119809,NA,56.85582335849277,1274,NA,5565,NA,7
56,"16755","batch",319.77379067987204,NA,59.192960461834986,1274,NA,6481,NA,7
57,"17621","batch",277.1506653581746,NA,50.078313551896656,985,NA,3463,NA,6
58,"17622","batch",288.88254749472253,NA,52.58709164962131,985,NA,4153,NA,6
59,"18681","batch",275.7402614473831,NA,49.77670888189099,875,NA,3387,NA,6
