"key","ID","dataset","TL_mm","width_mm","weight_g","gonads_g","pred.eggs","age","class"
1,"1661","batch",288.23685837490484,52.4471416605501,953.3333333333334,NA,4113,NA,6
2,"1662","batch",294.74328103265725,53.83867254567629,953.3333333333334,NA,4535,NA,6
3,"1663","batch",261.12314610672183,46.648322552688036,953.3333333333334,NA,2668,NA,6
4,"1664","batch",294.72594520263374,53.83496492565743,953.3333333333334,NA,4534,NA,6
5,"1665","batch",287.9185782596469,52.379070981192186,953.3333333333334,NA,4093,NA,6
6,"1666","batch",278.21217042347416,50.30315814888151,953.3333333333334,NA,3522,NA,6
7,"2621","batch",273.0686978213489,49.20312186794152,965,NA,3245,NA,6
8,"2622","batch",299.2771205867175,54.808326393811164,965,NA,4849,NA,6
9,"3741","batch",316.25210495479405,58.43877222637139,1435,NA,6174,NA,7
10,"3742","batch",306.3792815580964,56.327268040037616,1435,NA,5373,NA,7
11,"3743","batch",303.68345877341926,55.7507114799999,1435,NA,5169,NA,7
12,"3744","batch",308.0999890100211,56.695276343458694,1435,NA,5507,NA,7
13,"4751","batch",315.70489953644574,58.32174121252651,1314,NA,6127,NA,7
14,"4752","batch",310.2799937427044,57.16151471665069,1314,NA,5680,NA,7
15,"4753","batch",303.0634625721723,55.61811267600611,1314,NA,5123,NA,7
16,"4754","batch",304.4315500073135,55.91070601334237,1314,NA,5225,NA,7
17,"4755","batch",308.4775862880051,56.776033205115745,1314,NA,5536,NA,7
18,"5751","batch",310.065079594031,57.11555095265002,1290,NA,5662,NA,7
19,"5752","batch",306.3547681514174,56.32202534919383,1290,NA,5372,NA,7
20,"5753","batch",304.1593972556293,55.85250060933448,1290,NA,5205,NA,7
21,"5754","batch",301.3003477975726,55.24103470368065,1290,NA,4994,NA,7
22,"5755","batch",314.1910192389041,57.99796710481416,1290,NA,6000,NA,7
23,"6721","batch",309.91566973924637,57.08359661485007,1105,NA,5650,NA,7
24,"6722","batch",311.52817922085524,57.42846458058913,1105,NA,5780,NA,7
25,"7721","batch",309.64832950755954,57.026420466173995,1220,NA,5629,NA,7
26,"7722","batch",321.0626451186836,59.46760413052326,1220,NA,6596,NA,7
27,"8711","batch",324.26237606443465,60.15193170487803,1360,NA,6889,NA,7
28,"9661","batch",259.3898609513417,46.27762425143821,961.6666666666666,NA,2591,NA,6
29,"9662","batch",287.9844817193225,52.3931657771191,961.6666666666666,NA,4097,NA,6
30,"9663","batch",295.23580553918146,53.94400893382091,961.6666666666666,NA,4568,NA,6
31,"9664","batch",289.16120417416096,52.64483181931484,961.6666666666666,NA,4171,NA,6
32,"9665","batch",262.28810463869013,46.89747264059289,961.6666666666666,NA,2720,NA,6
33,"9666","batch",270.3777050967328,48.62759831453519,961.6666666666666,NA,3108,NA,6
34,"10611","batch",297.9769006376155,54.53024789940581,1120,NA,4757,NA,6
35,"11731","batch",308.098963573575,56.695057033008005,1323.3333333333333,NA,5507,NA,7
36,"11732","batch",320.4246070496738,59.331146705972834,1323.3333333333333,NA,6539,NA,7
37,"11733","batch",323.0752612054348,59.89804303557643,1323.3333333333333,NA,6779,NA,7
38,"12731","batch",304.1853980310261,55.858061404245156,1223.3333333333333,NA,5207,NA,7
39,"12732","batch",309.47595431655645,56.989554523900104,1223.3333333333333,NA,5615,NA,7
40,"12733","batch",318.1138457786292,58.836943386276,1223.3333333333333,NA,6335,NA,7
41,"13631","batch",255.90925046498887,45.53322487168332,870,NA,2442,NA,6
42,"13632","batch",278.62892249855213,50.39228906066149,870,NA,3545,NA,6
43,"13633","batch",257.28180562052876,45.82677372194088,870,NA,2500,NA,6
44,"14741","batch",317.4059319291264,58.68554160415875,1192.5,NA,6273,NA,7
45,"14742","batch",304.29730193689466,55.881994331657545,1192.5,NA,5215,NA,7
46,"14743","batch",324.6456970088184,60.23391268906604,1192.5,NA,6925,NA,7
47,"14744","batch",304.24193944968283,55.87015393719118,1192.5,NA,5211,NA,7
48,"15741","batch",319.04747930169106,59.036619913773286,1232.5,NA,6417,NA,7
49,"15742","batch",305.44621640630066,56.127713070301404,1232.5,NA,5302,NA,7
50,"15743","batch",314.505255760625,58.06517297941074,1232.5,NA,6026,NA,7
51,"15744","batch",307.6557216718793,56.60026073276202,1232.5,NA,5472,NA,7
52,"16751","batch",321.6980223916471,59.60349248969441,1274,NA,6654,NA,7
53,"16752","batch",308.77870238758624,56.84043301044911,1274,NA,5560,NA,7
54,"16753","batch",314.7694492470473,58.12167613257859,1274,NA,6048,NA,7
55,"16754","batch",311.439716340974,57.40954499358761,1274,NA,5773,NA,7
56,"16755","batch",324.00732867605984,60.097384630892385,1274,NA,6865,NA,7
57,"17621","batch",284.6436899357941,51.678669472146275,985,NA,3893,NA,6
58,"17622","batch",265.1379535952583,47.50697083178159,985,NA,2852,NA,6
59,"18681","batch",292.84564306982793,53.43282405212375,875,NA,4409,NA,6
60,"18682","batch",251.08431792538613,44.50131486511347,875,NA,2247,NA,6
61,"18683","batch",277.146357603604,50.07521238903364,875,NA,3463,NA,6
62,"18684","batch",292.91308539221063,53.44724796515503,875,NA,4413,NA,6
63,"18685","batch",279.49702329654247,50.57795008137107,875,NA,3594,NA,6
64,"18686","batch",264.30009071645327,47.32777680540386,875,NA,2813,NA,6
65,"18687","batch",267.50424158829264,48.01304967089408,875,NA,2965,NA,6
66,"18688","batch",298.3317905003205,54.60614831823025,875,NA,4782,NA,6
67,"19641","batch",257.80881264223717,45.93948489764537,865,NA,2522,NA,6
68,"19642","batch",262.29403595416807,46.8987411731047,865,NA,2720,NA,6
69,"19643","batch",256.5496396154631,45.67018512284728,865,NA,2469,NA,6
70,"19644","batch",266.46734421374276,47.791288067430884,865,NA,2915,NA,6
71,"20741","batch",308.76267415471375,56.837005046689406,1265,NA,5559,NA,7
72,"20742","batch",315.4342829361558,58.263864345753554,1265,NA,6105,NA,7
73,"20743","batch",306.0588373374194,56.258734522698255,1265,NA,5349,NA,7
74,"20744","batch",319.6175160128623,59.15853386418434,1265,NA,6467,NA,7
75,"21751","batch",319.02425731159747,59.03165341864547,1320,NA,6415,NA,7
76,"21752","batch",301.0822374392301,55.19438736520227,1320,NA,4978,NA,7
77,"21753","batch",303.25037553720176,55.658087817086006,1320,NA,5137,NA,7
78,"21754","batch",307.3558734469116,56.536132088214806,1320,NA,5449,NA,7
79,"21755","batch",303.75611444562674,55.76625037397813,1320,NA,5175,NA,7
80,"22751","batch",304.4622615799308,55.917274308099074,1126,NA,5228,NA,7
81,"22752","batch",306.5248050261289,56.358391194946186,1126,NA,5385,NA,7
82,"22753","batch",318.46150288172066,58.91129693227702,1126,NA,6365,NA,7
83,"22754","batch",306.8009938374162,56.41745979243034,1126,NA,5406,NA,7
84,"22755","batch",303.4437065757811,55.69943559379647,1126,NA,5152,NA,7
85,"23741","batch",311.8665482196957,57.50083167649162,1062.5,NA,5808,NA,7
86,"23742","batch",312.91994886286557,57.72612283977566,1062.5,NA,5894,NA,7
87,"23743","batch",304.94414501078427,56.02033488567533,1062.5,NA,5264,NA,7
88,"23744","batch",319.80970347486436,59.19963706377302,1062.5,NA,6484,NA,7
89,"24651","batch",290.16743030422367,52.8600337530126,956,NA,4235,NA,6
