"dataset","ID","TL_mm","FL_mm","SL_mm","width_mm","height_mm","weight_g","sex","eggs","gonads_g","bodywall_mm","use.age","age.diff","oto"
"DFO","1",82,75,NA,9,23,7,NA,"N",NA,1,12,-3,"l"
"DFO","96",88,80,NA,11,23,7,NA,"N",NA,1,1,NA,"a"
"DFO","30",90,81,NA,12,25,9,NA,"N",NA,1,9,0,"l"
"DFO","52",123,110,NA,22,138,NA,NA,NA,NA,NA,NA,NA,NA
"DFO","183",124,112,NA,14,36,25,NA,"N",NA,1,10,NA,"l"
"DFO","23",143,130,NA,21,42,48,NA,NA,NA,NA,NA,NA,NA
"DFO","34",143,130,NA,22,47,50,NA,"N",NA,2,10,-3,"l"
"DFO","181",149,133,NA,33,48,47,NA,"N",NA,1,12,NA,"l"
"DFO","172",151,139,NA,24,49,NA,NA,"N",NA,3,NA,NA,NA
"DFO","24",163,147,NA,35,50,69,"M","N",NA,3,2,NA,"a"
"DFO","124",183,163,NA,38,58,100,"M","N",NA,5,15,NA,"l"
"DFO","25",196,180,NA,41,64,131,NA,"N",NA,3,14,NA,"l"
"DFO","180",211,189,NA,34,68,149,NA,"N",NA,6,13,0,"l"
"DFO","182",225,204,NA,35,77,200,NA,"N",NA,4,NA,NA,NA
"DFO","174",226,210,NA,54,81,250,NA,NA,NA,NA,NA,NA,NA
"DFO","7",227,209,NA,37,76,211,"F","Y",8.5,4,13,NA,"l"
"DFO","173",229,209,NA,50,76,240,"M","N",NA,5.2,7,1,"a"
"DFO","179",233,214,NA,39,82,260,NA,"N",NA,8,17,0,"l"
"DFO","75",234,216,NA,38,234,247,"M","N",NA,8,12,NA,"l"
"DFO","167",245,235,NA,54,93,360,NA,NA,NA,NA,NA,NA,NA
"DFO","166",251,231,NA,47,92,320,"M","N",NA,7,12,NA,"a"
"DFO","89",254,232,NA,44,84,327,"F","Y",31.2,7,NA,NA,NA
"DFO","171",259,238,NA,55,92,360,NA,NA,NA,NA,NA,NA,NA
"DFO","37",262,235,NA,41,95,340,NA,NA,NA,NA,NA,NA,NA
"DFO","2",272,255,NA,46,94,410,NA,NA,NA,NA,NA,NA,NA
"DFO","168",277,252,NA,49,91,380,NA,NA,NA,NA,NA,NA,NA
"DFO","10",280,260,NA,45,97,420,NA,NA,NA,NA,NA,NA,NA
"DFO","40",287,259,NA,49,98,430,NA,NA,NA,NA,NA,NA,NA
"DFO","42",287,263,NA,51,104,510,NA,NA,NA,NA,NA,NA,NA
"DFO","21",288,265,NA,55,107,550,NA,NA,NA,NA,NA,NA,NA
"DFO","178",289,262,NA,50,99,520,NA,NA,NA,NA,NA,NA,NA
"DFO","161",290,264,NA,62,103,720,NA,NA,NA,NA,NA,NA,NA
"DFO","29",292,266,NA,58,104,NA,NA,NA,NA,NA,NA,NA,NA
"DFO","170",292,261,NA,52,101,460,NA,NA,NA,NA,NA,NA,NA
"DFO","15",293,268,NA,47,97,650,NA,NA,NA,NA,NA,NA,NA
"DFO","17",297,266,NA,53,113,NA,NA,NA,NA,NA,NA,NA,NA
"DFO","83",298,273,NA,50,94,410,"F","Y",66,7,16,NA,"l"
"DFO","141",301,275,NA,55,104,550,"F","Y",12.1,11,12,NA,"l"
"DFO","48",302,268,NA,54,106,550,NA,NA,NA,NA,NA,NA,NA
"DFO","33",303,278,NA,46,98,530,NA,NA,NA,NA,NA,NA,NA
"DFO","85",303,274,NA,59,105,500,"F","Y",21.5,10,14,2,"l"
"DFO","39",309,282,NA,61,121,790,NA,NA,NA,NA,NA,NA,NA
"DFO","35",310,291,NA,54,118,NA,NA,NA,NA,NA,NA,NA,NA
"DFO","177",313,286,NA,54,112,610,NA,NA,NA,NA,NA,NA,NA
"DFO","9",314,287,NA,50,101,530,NA,NA,NA,NA,NA,NA,NA
