CaptureMethod,Date,Species,Width_mm,ForkLength_mm,Mass_g
Trap Net,15-Aug-24,Rudd,50,334,852
Trap Net,15-Aug-24,Rudd,50,346,858
Trap Net,15-Aug-24,Rudd,47,311,672
Trap Net,15-Aug-24,Rudd,49,340,794
Trap Net,15-Aug-24,Rudd,42,301,544
Trap Net,15-Aug-24,Rudd,31,223,237
Trap Net,15-Aug-24,Rudd,31,207,151
Trap Net,15-Aug-24,Rudd,51,348,1042
Trap Net,15-Aug-24,Rudd,43,296,589
Trap Net,15-Aug-24,Rudd,15,131,38
Trap Net,15-Aug-24,Rudd,28,200,135
Trap Net,15-Aug-24,Rudd,37,241,291
Trap Net,15-Aug-24,Rudd,34,242,277
Trap Net,15-Aug-24,Rudd,28,209,158
Trap Net,15-Aug-24,Rudd,31,218,186
Trap Net,15-Aug-24,Rudd,23,181,94
Trap Net,15-Aug-24,Rudd,24,181,102
Trap Net,15-Aug-24,Rudd,56,361,1201
Trap Net,15-Aug-24,Rudd,52,349,1013
Trap Net,15-Aug-24,Rudd,32,208,166
Trap Net,15-Aug-24,Rudd,28,212,155
Trap Net,15-Aug-24,Rudd,23,186,105
Trap Net,15-Aug-24,Rudd,19,168,80
Trap Net,15-Aug-24,Rudd,29,201,170
